latitude,longitude,name,year,status
23.831457,91.2867777,Tripura Medical College and Dr. B R A M Teaching Hospital,2006,Recognized
26.9614505,78.9620555,U.P. Rural Institute of Medical Sciences and Research,2006,Recognized
28.6833533,77.3097765,University College of Medical Sciences and GTB Hospital,1971,Recognized
25.1240603,85.4594749,Vardhman Institute of Medical Sciences,2013,Recognized
28.583334,77.205833,Vardhman Mahavir Medical College and Safdarjung Hospital,2002,Recognized
30.22,78.78,Veer Chandra Singh Garhwali Govt. Medical Sc. and Research Instt,2008,Recognized
9.9252007,78.1197754,Velammal Medical College Hospital and Research Institute,2013,Recognized
15.1543232,76.8965961,Vijaynagar Institute of Medical Sciences,1961,Recognized
11.5825255,78.061627,Vinayaka Missions Kirupananda Variyar Medical College,1996,Recognized
11.9138598,79.8144722,Vinayaka Missions Medical College,1997,Recognized
15.8281257,78.0372792,Viswabharathi Medical College,2014,Not Recognized
21.5718403,73.1615127,Vivekanand Institute Of Medical Sciences and Research,2001,Not Recognized
21.5005155,83.8865181,VSS Medical College,1959,Recognized
12.9752267,77.7292916,Vydehi Institute Of Medical Sciences and Research Centre,2002,Recognized
12.8119405,74.8812309,Yenepoya Medical College,1999,Recognized
